coordinate,k_rad_per_um,lambda_um,Rs,Rp,Ts,Tp,As,Ap,Psi_deg,Delta_deg
12500.0,7.853981633974483,0.8,0.64584698009745,0.12341472198429565,0.30865324731774263,0.8131131549430892,0.04549977258480736,0.06347212307261518,23.611971700424974,245.6985833825771
12525.0,7.869689597242432,0.7984031936127745,0.650559534881089,0.12506894554757966,0.30437083271900783,0.8114085524271997,0.04506963239990319,0.0635225020252207,23.675588930770203,245.27359726871796
12550.0,7.88539756051038,0.7968127490039841,0.6551832519734583,0.1267224361084778,0.30017232647024883,0.8097064001141421,0.04464442155629289,0.06357116377738015,23.739413812973115,244.84729772656027
12575.0,7.90110552377833,0.7952286282306162,0.6597191983230191,0.12837477915939063,0.29605663197763743,0.8080071020530033,0.04422416969934351,0.06361811878760604,23.80340777180741,244.419673636237
12600.0,7.916813487046278,0.7936507936507937,0.664168468979249,0.13002556015372932,0.2920226307263579,0.8063110615775831,0.043808900294393105,0.06366337826868751,23.867533267648096,243.99071666786608
12625.0,7.932521450314227,0.7920792079207921,0.6685321833716503,0.13167436468200122,0.28806918563420414,0.8046186811385053,0.04339863099414554,0.06370695417949346,23.931753777306767,243.56042107731983
12650.0,7.948229413582176,0.790513833992095,0.6728114818109927,0.13332077864431055,0.28419514419637304,0.8029303621392536,0.042993373992634254,0.0637488592164358,23.996033774583033,243.12878351348007
12675.0,7.963937376850126,0.7889546351084812,0.6770075222050217,0.13496438841914643,0.2803993414292375,0.801246504776304,0.0425931363657408,0.06378910680454952,24.06033871059548,242.6958028364072
12700.0,7.979645340118075,0.7874015748031495,0.6811214769806929,0.1366047810283469,0.2766806026210002,0.7995675078833917,0.04219792039830689,0.06382771108826146,24.12463499394973,242.26147994587987
12725.0,7.995353303386024,0.7858546168958742,0.6851545302048339,0.13824154429811428,0.2730377458972281,0.7978937687800232,0.04180772389793802,0.06386468692186253,24.18888997079343,241.82581761978176
12750.0,8.011061266653972,0.7843137254901962,0.6891078748950773,0.1398742670159924,0.2694695846092721,0.7962256831243525,0.041422540495650584,0.06390004985965514,24.25307190480519,241.38882036183895
12775.0,8.026769229921921,0.7827788649706457,0.6929827105129105,0.14150253908370863,0.2659749295535353,0.7945636447704345,0.04104235993355421,0.06393381614585691,24.31714995715774,240.95049425822674
12800.0,8.042477193189871,0.7812499999999999,0.6967802406307024,0.14312595166579062,0.2625525910295118,0.7929080456299599,0.040667168339785786,0.06396600270424957,24.381094166491703,240.51084684259405
12825.0,8.058185156457819,0.7797270955165693,0.7005016707646392,0.1447440973338911,0.25920138074437943,0.7912592755385175,0.040296948490981366,0.06399662712759135,24.44487542893346,240.0698869690671
12850.0,8.073893119725767,0.7782101167315176,0.7041482063656428,0.14635657020675602,0.25592011357181355,0.7896177221264304,0.03993168006254366,0.06402570766681359,24.50846547818613,239.6276246928176
12875.0,8.089601082993719,0.7766990291262135,0.707721050960439,0.14796296608576562,0.25270760917252405,0.7879837706941877,0.039571339867036925,0.06405326322004667,24.57183686571902,239.18407115780008
12900.0,8.105309046261667,0.7751937984496123,0.7112214044351296,0.14956288258601438,0.2495626934838409,0.7863578040925338,0.03921590208102951,0.06407931332145189,24.63496294107996,238.73923849128073
12925.0,8.121017009529615,0.7736943907156674,0.7146504614538467,0.15115591926288252,0.2464842000854319,0.7847402026071926,0.038865338460721405,0.06410387812992491,24.69781783234987,238.29313970479535
12950.0,8.136724972797564,0.7722007722007722,0.718009410005178,0.15274167773406214,0.243470971448102,0.7831313438482915,0.03851961854671995,0.06412697841764636,24.760376426758384,237.84578860119802
12975.0,8.152432936065514,0.770712909441233,0.7212994300693722,0.15431976179702883,0.2405218600723103,0.7815316026444379,0.03817870985831745,0.06414863555853323,24.822614351476897,237.39719968747048
13000.0,8.168140899333462,0.7692307692307693,0.7245216923994935,0.15588977754192357,0.2376357295228665,0.7799413509414778,0.03784257807764002,0.06416887151659867,24.88450795460212,236.94738809298434
13025.0,8.183848862601412,0.7677543186180421,0.7276773574099602,0.15745133345985904,0.2348114553659967,0.7783609577059041,0.03751118722404309,0.06418770883423686,24.946034286344087,236.49636949291983
13050.0,8.19955682586936,0.7662835249042146,0.7307675741661313,0.15900404054662434,0.23204792601475893,0.7767907888329257,0.03718449981910982,0.06420517062044995,25.007171080427607,236.04416003656166
13075.0,8.21526478913731,0.7648183556405354,0.7337934794688686,0.16054751240182055,0.2293440434884914,0.7752312070591268,0.03686247704263995,0.06422128053905263,25.067896735718268,235.59077628020398
13100.0,8.230972752405258,0.7633587786259542,0.7367561970282194,0.16208136532342363,0.22669872409179526,0.7736825718797249,0.03654507887998537,0.06423606279685146,25.128190298079957,235.13623512441316
13125.0,8.246680715673207,0.7619047619047619,0.7396568367206529,0.16360521839780276,0.2241108990182528,0.7721452394703632,0.036232264261094355,0.06424954213183409,25.18803144247114,234.68055375540666
13150.0,8.262388678941155,0.7604562737642586,0.7424964939244784,0.1651186935852244,0.22157951488388405,0.7706195626133963,0.03592399119163758,0.06426174380137928,25.24740045528614,234.22374959032055
13175.0,8.278096642209103,0.759013282732448,0.7452762489283739,0.16662141580087073,0.21910353419508397,0.7691058906286092,0.03562021687654218,0.06427269357052001,25.306278216945568,233.76584022614853
13200.0,8.293804605477055,0.7575757575757575,0.7479971664081367,0.16811301299141854,0.2166819357555565,0.7676045693083327,0.035320897836306764,0.06428241770024878,25.36464618474063,233.30684339214855
13225.0,8.309512568745003,0.7561436672967864,0.750660294967041,0.16959311620721734,0.21431371501654206,0.7661159408568489,0.03502599001641693,0.06429094293593385,25.422486375933822,232.84677690552087
13250.0,8.32522053201295,0.7547169811320755,0.7532666667354138,0.1710613596701392,0.2119978843743985,0.7646403438340652,0.03473544889018773,0.06429829649579566,25.47978135111972,232.38565863017314
13275.0,8.3409284952809,0.7532956685499058,0.7558172970252227,0.17251738083712811,0.20973347341940168,0.7631781131033231,0.034449229555375604,0.06430450605954885,25.536514197846113,231.9235064383995
13300.0,8.35663645854885,0.7518796992481203,0.75831318403575,0.17396082045953878,0.20751952913940935,0.7617295797833098,0.03416728682484066,0.06430959975715145,25.592668514498104,231.46033817530548
13325.0,8.372344421816798,0.75046904315197,0.760755308606581,0.1753913226383244,0.20535511608183368,0.7602950712039641,0.03388957531158529,0.06431360615771153,25.648228394445546,230.9961716258229
13350.0,8.388052385084748,0.749063670411985,0.7631446340143745,0.17680853487513754,0.2032393164771775,0.758874910866254,0.033616049508448015,0.06431655425860838,25.70317841045345,230.53102448416703
13375.0,8.403760348352696,0.7476635514018692,0.765482105810046,0.17821210811943963,0.20117123032721834,0.7574694184057922,0.033346663862735604,0.06431847347476816,25.75750359935643,230.06491432559358
